latitude,longitude,name,address,location,description,features,price_range,bed,bath,square_feet
32.18989,-110.9552,Brioso Living,"2805 S Park Ave, Tucson, AZ 85713",Tucson,"Brioso gives residents a space to elevate and come alive.  Our brand new 3-bedroom, and 2 bedroom homes feature personal, gated courtyards. Brioso is designed for residents to experience modern desert living at its finest.  Our homes come with adobe architecture, wide-ranging amenities, and creative workspaces. You'll love the views from your personal balconies or patios. Explore our floor plans today and discover your next place to call home.","Private Yards,Garage Parking,Loft Style Living Rooms,Parking,Pool,Custom Islands,University Of Arizona Employees,Walk In Closets,Brand New Apartments,Covered Parking,Raytheon Employees Welcomed,Adt Alarm Systems,Washer and Dryer in Home,Geico Employees Welcomed,Large Breed Welcome,Smart Thermostat,Specials!,Townhome And Villa Floorplans","$1,900 - $2,300",2 - 3 bd,2 - 2.5 ba,"1,041 - 1,432 sq ft"
32.23353,-110.97288,Sahara,"919 N Stone Ave, Tucson, AZ 85705",West University,"Sahara is newly renovated inside and out. Upgraded apartments are ready for move-in now and include stainless steel appliances and new woodgrain flooring and paint. In-person or virtual tours are available while the final touches are being made to the exciting amenities we offer. Common areas include an equipped yoga studio, study/business room, gym, and a clubhouse with billiards, ping pong, large televisions, and plenty of lounging areas. In the courtyard, you will enjoy the Zen garden, outdoor game area, and pool and spa. Bus regularly runs to the local grocery store as well as UA campus and other points of interest. Laundry rooms are conveniently located in each building and 2 elevators are available. Near the clubhouse, a restaurant and hair salon will soon open. What are you waiting for? Schedule your tour today",Yoga Room,$789 - $819,Studio - 2 bd,1 ba,285 - 983 sq ft
32.22419,-110.97746,255 North,"255 N Granada Ave, Tucson, AZ 85701",Downtown Tucson,"Welcome to 255 North, a unique combination of sophistication and comfort, with uncommonly spacious apartments, beautifully lush grounds and conveniently located in downtown Tuscon. 255 North features one, two, and three-bedroom apartment homes. Relax in our resort-style pool, play with your dog in our dog park, and work out in our state of the art fitness center, among many other community amenities. Enjoy a wood-burning fireplace, vaulted ceilings, and a full-size washer/dryer in your apartment home.","Dog Park,Newly Renovated Apartments,Upgrade-ext. vinyl,Vaulted Ceilings,Cyber Cafe,new appliances,Quartz Countertops,Streetcar Access,Wood Style Plank Flooring,Just minutes away from Downtown,W/D,Preferred Employer Discounts,Quartz Counter tops,24 hour Emergency Maintenance,BBQ Grills / Picnic Areas,Electric Vehicle Charging Stations,Wood Burning Fire Places (Select Homes),Brand New Fitness Center","$1,645 - $8,506",1 - 3 bd,1 - 2 ba,"670 - 1,338 sq ft"
32.23445,-110.80976,Huntington Park Apartments,"8550 E Speedway, Tucson, AZ 85710",Ward 2,"Welcome to Huntington Park apartments in Tucson, AZ. From the moment, you walk through the front door you'll feel the comfort that makes our residents happy to call us home. Cutting edge amenities, meticulously-groomed grounds, and a dedicated staff contributes to a higher standard of living. Convenient shopping, schools, local museums and parks are all close at hand, with sponsored activities to develop new hobbies while getting to know your neighbors. Step into the calm that surrounds this friendly gated community with lush green landscaping, self-enclosed courtyard, heated pool. Huntington Park Apartments offers six+two spacious and innovative floorplans providing a higher level of comfort and convenience. Come see why we are the perfect place to call home!","Pool,Fitness Center,Laundry Facilities,Playground,Washer/Dryer,Air Conditioning,Dishwasher,Washer/Dryer Hookup","$870 - $1,290",1 - 2 bd,1 - 2 ba,536 - 864 sq ft
32.27072,-110.96132,Villas Los Duraznos,"3535 N 1st Ave, Tucson, AZ 85719",Amphi,"Come experience the best Tucson, Arizona has to offer at Sierra Vista Apartments! Enhanced by its immaculate grounds and modern styling, our community is perfect for every lifestyle. Centrally located with easy access to Interstate 10, a great selection of shopping, dining, entertainment, and parks are only minutes away. Everything you need is right outside your door. Sierra Vista Apartments offers studio, one, two, and three bedroom apartments for rent, so there is something for everyone. Your comfort is our top priority, which is why each floor plan comes with central air and heating, vertical blinds, and ceiling fans. Running out of space will be a thing of the past with a pantry and walk-in closets. Enjoy the scenic views on your balcony or patio.","Pool,Fitness Center,Laundry Facilities,Clubhouse,Air Conditioning,Dishwasher,High Speed Internet Access,Walk-In Closets","$820 - $1,730",1 - 3 bd,1 - 2 ba,"425 - 1,392 sq ft"
32.29222,-110.82115,Pinnacle Heights,"7990 E Snyder Rd, Tucson, AZ 85750",Tucson,"The ultimate in apartment home living is waiting for you at Pinnacle Heights Apartments. Our premier community offers you a next-level lifestyle in our 1, 2 & 3 bedroom apartment homes. Lavish extras with modern design to offer you a breathtaking living experience. Take advantage of our top-notch offerings with endless opportunities to stay active or relax in style. Your new home is surrounded by everything you need for an extraordinary life - amazing desert hikes, convenient shopping and quality employers are just around the corner. Experience luxury. Experience Pinnacle Heights.","Valet Trash,Extended Closet,Renovated Units Now Available,Casitas Available,Resident Referral Bonus Program,Stainless Steele Appliance(Select Units),Washer and Dryer in Home,Fauxwood Flooring","$1,349 - $2,217",1 - 3 bd,1 - 2 ba,"863 - 1,384 sq ft"
32.22215,-110.8443,Echo Luxury Apartments,"6901 E Broadway Blvd, Tucson, AZ 85710",El GHEKO,"Elevate your lifestyle at Echo Luxury Apartments, Tucson's premier community where convenience meets modern living. Our strategically located apartments offer easy access to entertainment and relaxation. From watching movies to shopping at local farmers' markets, the best of Tucson is at your fingertips. Amenities Built For You: Our resident-friendly amenities set us apart. Enjoy picnics and barbecues, relax in our sparkling pool or the rejuvenating spa. Soon to arrive this fall: a state-of-the-art fitness center and resident lounge. Yes, we're pet-friendly! Apartment Features: Choose from studio, one, or two-bedroom layouts. Our units offer gourmet, all-electric kitchens with breakfast bars, pantries, and stainless-steel appliances framed by quartz countertops. Enjoy breathtaking views, walk-in closets, and the convenience of a washer and dryer in every home. Experience the Best of Both Worlds: With features designed to simplify your life, Echo Luxury Apartments provides a perfect blend of relaxation and convenience. From spacious quartz countertops to covered parking, we've got you covered. Contact us to experience luxury like never before, schedule a tour today at Echo Luxury Apartments, your next home in Tucson, Arizona.","All-electric Kitchen,Senior And Military Discounts Available,Some Paid Utilities,24-hour Courtesy Patrol,Stainless Steel Appliances,Beautiful Landscaping,Easy Access To Shopping,Public Parks Nearby,Breakfast Bar,Curtains*","$1,200 - $1,800",Studio - 2 bd,1 - 2 ba,464 - 940 sq ft
32.35285,-111.00964,Tierra Vida,"1970 W Old Magee Trl, Tucson, AZ 85704",Casas Adobes,"Tierra Vida is an excellent choice for your new home in a quiet area of Tucson, AZ yet close enough for the big city amenities. Come and see why Tierra Vida Apartment Homes is your best choice for a new home located near the Foothills and Oro Valley, our comfortable apartment homes and community features make us a popular for all.","Mountain view,Quartz Countertops In Kitchen And Baths,Renovated,2nd Floor,Reparian View,1st Floor,Community gas grill/BBQ area,Fast Charging Usb-c Electrical Outlets,Pet Friendly,Washer and Dryer Included,Well maintained grounds,24hr. Emergency maintenance,Electric GE appliances,Microwave Included,Mirror closet doors,New Brighter Led Upscale Lighting,Picnic Area,Poolside Grills,Renovated Selected Unit,Courtyard view,Covered Parking,Location Discount,Partial View,Patio/ Balcony,Stackable Washer and Dryer,Storage closet off balcony/patio,Pantry,Community web site,Excellent access,Jogging trail,Microwave Selected Unit","$1,217 - $1,788",1 - 2 bd,1 - 2 ba,628 - 920 sq ft
32.20458,-110.84033,Villas Las Naranjas,"1345 S Kolb Rd, Tucson, AZ 85710",Dietz,"Villas Las Naranjas has several amazing floorplans to choose from including Studio, 1, and 2 bedrooms. We also offer townhomes with 2 or 3 bedroom options. Our beautifully landscaped community is in a great location in East Tucson, AZ. We are across the street from Eastpoint Marketplace which has plenty of restaurants and shopping. Villas Las Naranjas is very close to E 22nd St and near I-10.  Our community is east of Tucson’s historic downtown area where you can experience glamorous shopping, local dining, and great entertainment. If you love the great outdoors, Saguaro National Park East is just a 15-minute drive. Experience the excitement of hiking trails, horseback riding, and spectacular views at the national park. Villas Las Naranjas is the perfect location for you to live life to the fullest in East Tucson, Arizona! It features great community amenities suited for your active lifestyle. You can cool off from the desert heat in one of two shimmering outdoor pools.  You can stay connected in the business center or lounge with friends in the clubhouse, and children will enjoy the playground area. At Villas Las Naranjas we acknowledge furry friends are family members too, so bring them along to our pet-friendly apartments! We are sure they will love our pet park. Visit us today!","Playground,Clubhouse,Business Center,Lounge","$799 - $1,499",Studio - 3 bd,1 - 1.5 ba,"470 - 1,123 sq ft"
32.22214,-111.02625,Sonoran Reserve,"2800 W Broadway Blvd, Tucson, AZ 85745",Starr Pass,"Welcome home to Sonoran Reserve, nestled in a prime location that offers stunning views of the Sonoran desert. Conveniently situated off of Interstate 10, our community takes pride in placing our residents right where they need to be. Shopping, entertainment hot spots, and family eateries are just minutes away. If convenience and location are important factors in your lifestyle, you've come to the right place!","Valet Trash,Package Lockers","$1,039 - $1,719",1 - 4 bd,1 - 4 ba,"457 - 1,365 sq ft"
