,name,new_price,old_price,saved_price,sku,url,more_info
0,Needle Craft Embroidered Shirt WGK-KDW-DE-1934,1990,3994,2004,W-AP-23-346967 -P,https://www.gulahmedshop.com/needle-craft-embroidered-shirt-wgk-kdw-de-1934,"Khaddar, No, 41% to 50%"
1,Chic Attire Embroidered Shirt And Trouser WGK-IRS-DY-1686,4462,8923,4461,W-AP-23-349556 -P,https://www.gulahmedshop.com/chic-attire-embroidered-shirt-and-trouser-wgk-irs-dy-1686,"Khaddar, Khaddar, No, 41% to 50%"
2,The Loom Dyed Shirt And Trouser WGK-JQS-DY-2176,3435,6869,3434,W-AP-23-348635 -P,https://www.gulahmedshop.com/the-loom-dyed-shirt-and-trouser-wgk-jqs-dy-2176,"Jacquard, Jacquard, No, 41% to 50%"
3,The Loom Dyed Shirt And Trouser WGK-JQS-DY-2177,3846,7691,3845,W-AP-23-348641 -P,https://www.gulahmedshop.com/the-loom-dyed-shirt-and-trouser-wgk-jqs-dy-2177,"Jacquard, Jacquard, No, 41% to 50%"
4,Foil Printed Shirt WGK-YDS-FP-2312,2490,4610,2120,W-AP-23-349532 -P,https://www.gulahmedshop.com/foil-printed-shirt-wgk-yds-fp-2312,"Yarn Dyed, No, 41% to 50%"
5,Foil Printed Shirt WGK-YDS-FP-2313,2490,4816,2326,W-AP-23-349538 -P,https://www.gulahmedshop.com/foil-printed-shirt-wgk-yds-fp-2313,"Yarn Dyed, No, 41% to 50%"
6,Foil Printed Shirt WGK-YDS-FP-2315,2490,4816,2326,W-AP-23-349544 -P,https://www.gulahmedshop.com/foil-printed-shirt-wgk-yds-fp-2315,"Yarn Dyed, No, 41% to 50%"
7,Printed Melody Printed Shirt And Trouser WGK-LWS-DP-2165,3589,7177,3588,W-AP-23-348671 -P,https://www.gulahmedshop.com/printed-melody-printed-shirt-and-trouser-wgk-lws-dp-2165,"Lawn, Lawn, No, 41% to 50%"
8,Needle Craft Embroidered Shirt WGK-CMS-DE-1294,2490,4816,2326,W-AP-23-351459 -P,https://www.gulahmedshop.com/needle-craft-embroidered-shirt-wgk-cms-de-1294,"Dobby, No, 41% to 50%"
9,Studio Collection Dyed Shirt And Trouser WGK-CGS-DY-2209,5129,10258,5129,W-AP-23-351326 -P,https://www.gulahmedshop.com/studio-collection-dyed-shirt-and-trouser-wgk-cgs-dy-2209,"Crepe, Crepe, No, 41% to 50%"
10,Day To Day Dyed Shirt WGK-PCS-DY-2288,1990,3583,1593,W-AP-23-349442 -P,https://www.gulahmedshop.com/day-to-day-dyed-shirt-wgk-pcs-dy-2288,"Cotton, No, 41% to 50%"
11,The Loom Dyed Shirt WGK-DBS-DY-2290,1990,3378,1388,W-AP-23-349472 -P,https://www.gulahmedshop.com/the-loom-dyed-shirt-wgk-dbs-dy-2290,"Dobby, No, 41% to 50%"
12,Tehwaar Raw Silk Block Print Shirt And Trouser WGK-RSS-SP-2221,8210,16418,8208,W-AP-23-357988 -P,https://www.gulahmedshop.com/tehwaar-raw-silk-block-print-shirt-and-trouser-wgk-rss-sp-2221,"Raw Silk, Raw Silk, No, 41% to 50%"
13,Tehwaar Raw Silk Block Print Shirt And Trouser WGK-RSS-SP-2222,8210,16418,8208,W-AP-23-357994 -P,https://www.gulahmedshop.com/tehwaar-raw-silk-block-print-shirt-and-trouser-wgk-rss-sp-2222,"Raw Silk, Raw Silk, No, 41% to 50%"
14,Tehwaar Raw Silk Block Print Shirt And Trouser WGK-RSS-SP-2223,8210,16418,8208,W-AP-23-358006 -P,https://www.gulahmedshop.com/tehwaar-raw-silk-block-print-shirt-and-trouser-wgk-rss-sp-2223,"Raw Silk, Raw Silk, No, 41% to 50%"
15,Tehwaar Raw Silk Dyed Embellished Shirt And Trouser WGK-RSW-DY-2024,5129,10258,5129,W-AP-23-350488 -P,https://www.gulahmedshop.com/tehwaar-raw-silk-dyed-embellished-shirt-and-trouser-wgk-rsw-dy-2024,"Raw Silk, Raw Silk, No, 41% to 50%"
16,Tehwaar Raw Silk Dyed Embellished Shirt And Trouser WGK-RSW-DY-2023,4616,9231,4615,W-AP-23-350464 -P,https://www.gulahmedshop.com/tehwaar-raw-silk-dyed-embellished-shirt-and-trouser-wgk-rsw-dy-2023,"Raw Silk, Raw Silk, No, 41% to 50%"
17,Tehwaar Raw Silk Dyed Embroidered Shirt And Trouser WGK-RSW-DE-2021,4103,8204,4101,W-AP-23-350476 -P,https://www.gulahmedshop.com/tehwaar-raw-silk-dyed-embroidered-shirt-and-trouser-wgk-rsw-de-2021,"Raw Silk, Raw Silk, No, 41% to 50%"
18,Har Roz Yarn Dyed Embroidered Shirt And Trouser with Printed Dupatta WGK-YDS-PE-2240,5129,10258,5129,W-AP-23-358060 -P,https://www.gulahmedshop.com/har-roz-yarn-dyed-embroidered-shirt-and-trouser-with-printed-dupatta-wgk-yds-pe-2240,"Yarn Dyed, Chiffon, Cambric, No, 41% to 50%"
19,Har Roz Yarn Dyed Embroidered Shirt And Trouser with Printed Dupatta WGK-YDS-PE-2239,5129,10258,5129,W-AP-23-358054 -P,https://www.gulahmedshop.com/har-roz-yarn-dyed-embroidered-shirt-and-trouser-with-printed-dupatta-wgk-yds-pe-2239,"Yarn Dyed, Chiffon, Cambric, No, 41% to 50%"
20,Har Roz Yarn Dyed Embroidered Shirt And Trouser with Printed Dupatta WGK-YDS-PE-2238,5129,10258,5129,W-AP-23-358048 -P,https://www.gulahmedshop.com/har-roz-yarn-dyed-embroidered-shirt-and-trouser-with-printed-dupatta-wgk-yds-pe-2238,"Yarn Dyed, Chiffon, Cambric, No, 41% to 50%"
21,Har Roz Yarn Dyed Embroidered Shirt And Trouser with Printed Dupatta WGK-YDS-PE-2237,5129,10258,5129,W-AP-23-358036 -P,https://www.gulahmedshop.com/har-roz-yarn-dyed-embroidered-shirt-and-trouser-with-printed-dupatta-wgk-yds-pe-2237,"Yarn Dyed, Chiffon, Cambric, No, 41% to 50%"
22,Har Roz Yarn Dyed Embroidered Shirt And Trouser with Printed Dupatta WGK-YDS-PE-2236,5129,10258,5129,W-AP-23-358030 -P,https://www.gulahmedshop.com/har-roz-yarn-dyed-embroidered-shirt-and-trouser-with-printed-dupatta-wgk-yds-pe-2236,"Yarn Dyed, Chiffon, Cambric, No, 41% to 50%"
23,Needle Craft Raw Silk Embroidered Shirt And Trouser With Dupatta WGK-RSW-PE-1796,5899,11798,5899,W-AP-23-354712 -P,https://www.gulahmedshop.com/needle-craft-raw-silk-embroidered-shirt-and-trouser-with-dupatta-wgk-rsw-pe-1796,"Raw Silk, Organza, Raw Silk, No, 41% to 50%"
24,Lawn Block Print Shirt And Trouser WGK-CMS-SP-2195,3486,6972,3486,W-AP-23-354706 -P,https://www.gulahmedshop.com/lawn-block-print-shirt-and-trouser-wgk-cms-sp-2195,"Lawn, Cambric, No, 41% to 50%"
25,Lawn Block Print Shirt And Trouser WGK-CMS-SP-2197,4103,8204,4101,W-AP-23-354724 -P,https://www.gulahmedshop.com/lawn-block-print-shirt-and-trouser-wgk-cms-sp-2197,"Lawn, Cambric, No, 41% to 50%"
26,Rozana Lawn Block Printed Shirt And Trouser With Chiffon Dupatta WGK-CMS-SP-2172,5283,10566,5283,W-AP-23-356932 -P,https://www.gulahmedshop.com/rozana-lawn-block-printed-shirt-and-trouser-with-chiffon-dupatta-wgk-cms-sp-2172,"Lawn, Chiffon, Cambric, No, 41% to 50%"
27,Rozana Lawn Block Printed Shirt And Trouser With Chiffon Dupatta WGK-CMS-SP-2170,5129,10258,5129,W-AP-23-356920 -P,https://www.gulahmedshop.com/rozana-lawn-block-printed-shirt-and-trouser-with-chiffon-dupatta-wgk-cms-sp-2170,"Lawn, Chiffon, Cambric, No, 41% to 50%"
