Index,Company,Skills,Date,More
0,Ivan Infotech Pvt. Ltd.,"rest,python,security,debugging",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
1,east india securities ltd.,"python,hadoop,machinelearning",Posted few days ago,https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
2,art technology and software india pvt ltd,"rest,python,database,django,api",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-M26lxDEd__PLUS__qtzpSvf__PLUS__uAgZw==&source=srp
5,DREAMAJAX TECHNOLOGIES,"python,django,api,sql,nosql",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
6,xonier technologies pvt ltd,"python,django,testingtools,debugging,storage",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-VZ3nXzqL2FNzpSvf__PLUS__uAgZw==&source=srp
10,InnOvator Web Solutions Pvt.Ltd.,"rest,python,django,webdeveloper,mysql,api",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
11,pearl global solutions,"python,database,django,teamplayer,sql",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-pearl-global-solutions-cochin-kochi-ernakulam-4-to-7-yrs-jobid-dZD__SLASH__NDlCjpVzpSvf__PLUS__uAgZw==&source=srp
12,AxisTechnolabs,"python,django,itskills,html5,api,jquery",Posted few days ago,https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-HzL8naalyxFzpSvf__PLUS__uAgZw==&source=srp
15,Sourcedesk Global Private Limited,"html5,storage,python,javascript,django,infrastructure",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-sourcedesk-global-private-limited-kolkata-3-to-15-yrs-jobid-A27Uf03p2IJzpSvf__PLUS__uAgZw==&source=srp
18,innefu labs pvt. ltd.,"python,database,django,neo4j,mining,webcrawling",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-innefu-labs-pvt-ltd-delhi-delhi-ncr-4-to-5-yrs-jobid-FxKbGzMsPBFzpSvf__PLUS__uAgZw==&source=srp
19,CONNECTING 2 WORK,"python,storage,django,testingtools,debugging",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-Tebue__SLASH__8iTzVzpSvf__PLUS__uAgZw==&source=srp
22,"157 industries pvt ltd
     (More Jobs)","python,django,flask,pyramid,HTMLJavaScript,ORM",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-157-careers-pune-5-to-10-yrs-jobid-x4UM0ZqhIeRzpSvf__PLUS__uAgZw==&source=srp
23,CANVERA TRADERS PRIVATE LIMITED,"python,rdbms,javascript,sql,spring,springboot,django,java",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-canvera-traders-private-limited-bengaluru-bangalore-5-to-8-yrs-jobid-eyvQsuRYuMpzpSvf__PLUS__uAgZw==&source=srp
0,Ivan Infotech Pvt. Ltd.,"rest,python,security,debugging",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
1,east india securities ltd.,"python,hadoop,machinelearning",Posted few days ago,https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
2,art technology and software india pvt ltd,"rest,python,database,django,api",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-M26lxDEd__PLUS__qtzpSvf__PLUS__uAgZw==&source=srp
5,DREAMAJAX TECHNOLOGIES,"python,django,api,sql,nosql",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
6,xonier technologies pvt ltd,"python,django,testingtools,debugging,storage",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-VZ3nXzqL2FNzpSvf__PLUS__uAgZw==&source=srp
10,InnOvator Web Solutions Pvt.Ltd.,"rest,python,django,webdeveloper,mysql,api",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
11,pearl global solutions,"python,database,django,teamplayer,sql",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-pearl-global-solutions-cochin-kochi-ernakulam-4-to-7-yrs-jobid-dZD__SLASH__NDlCjpVzpSvf__PLUS__uAgZw==&source=srp
12,AxisTechnolabs,"python,django,itskills,html5,api,jquery",Posted few days ago,https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-HzL8naalyxFzpSvf__PLUS__uAgZw==&source=srp
15,Sourcedesk Global Private Limited,"html5,storage,python,javascript,django,infrastructure",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-sourcedesk-global-private-limited-kolkata-3-to-15-yrs-jobid-A27Uf03p2IJzpSvf__PLUS__uAgZw==&source=srp
18,innefu labs pvt. ltd.,"python,database,django,neo4j,mining,webcrawling",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-innefu-labs-pvt-ltd-delhi-delhi-ncr-4-to-5-yrs-jobid-FxKbGzMsPBFzpSvf__PLUS__uAgZw==&source=srp
19,CONNECTING 2 WORK,"python,storage,django,testingtools,debugging",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-Tebue__SLASH__8iTzVzpSvf__PLUS__uAgZw==&source=srp
22,"157 industries pvt ltd
     (More Jobs)","python,django,flask,pyramid,HTMLJavaScript,ORM",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-157-careers-pune-5-to-10-yrs-jobid-x4UM0ZqhIeRzpSvf__PLUS__uAgZw==&source=srp
23,CANVERA TRADERS PRIVATE LIMITED,"python,rdbms,javascript,sql,spring,springboot,django,java",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-canvera-traders-private-limited-bengaluru-bangalore-5-to-8-yrs-jobid-eyvQsuRYuMpzpSvf__PLUS__uAgZw==&source=srp
0,Ivan Infotech Pvt. Ltd.,"rest,python,security,debugging",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
1,east india securities ltd.,"python,hadoop,machinelearning",Posted few days ago,https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
2,art technology and software india pvt ltd,"rest,python,database,django,api",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-M26lxDEd__PLUS__qtzpSvf__PLUS__uAgZw==&source=srp
5,DREAMAJAX TECHNOLOGIES,"python,django,api,sql,nosql",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
6,xonier technologies pvt ltd,"python,django,testingtools,debugging,storage",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-VZ3nXzqL2FNzpSvf__PLUS__uAgZw==&source=srp
10,InnOvator Web Solutions Pvt.Ltd.,"rest,python,django,webdeveloper,mysql,api",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
11,pearl global solutions,"python,database,django,teamplayer,sql",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-pearl-global-solutions-cochin-kochi-ernakulam-4-to-7-yrs-jobid-dZD__SLASH__NDlCjpVzpSvf__PLUS__uAgZw==&source=srp
12,AxisTechnolabs,"python,django,itskills,html5,api,jquery",Posted few days ago,https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-HzL8naalyxFzpSvf__PLUS__uAgZw==&source=srp
15,Sourcedesk Global Private Limited,"html5,storage,python,javascript,django,infrastructure",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-sourcedesk-global-private-limited-kolkata-3-to-15-yrs-jobid-A27Uf03p2IJzpSvf__PLUS__uAgZw==&source=srp
18,innefu labs pvt. ltd.,"python,database,django,neo4j,mining,webcrawling",Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-innefu-labs-pvt-ltd-delhi-delhi-ncr-4-to-5-yrs-jobid-FxKbGzMsPBFzpSvf__PLUS__uAgZw==&source=srp
